Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1637,nm0375494,2014-12-01,2014-12-01,17 points,Monte Hellman,Iguana,1929-07-12
1638,nm0064415,2016-12-09,2016-12-09,17 points,William Beaudine,The Ape Man,1892-01-15
1639,nm0804752,2016-10-23,2016-10-23,17 points,Arne Skouen,Ni liv,1913-10-18
1640,nm0532561,2017-01-30,2017-01-30,17 points,Gustav Machatý,Ekstase,1901-05-09
1641,nm0110300,2013-04-06,2013-04-06,17 points,Stéphane Brizé,En guerre,1966-10-18
1642,nm0538533,2017-07-12,2017-07-12,17 points,Samira Makhmalbaf,Panj é asr,1980-02-15
1643,nm0328486,2017-04-17,2017-04-17,17 points,Servando González,Las grandes aguas,1923-05-15
1644,nm0403101,2012-08-12,2012-08-12,17 points,Hermine Huntgeburth,Im Kreise der Lieben,1957-11-13
1645,nm0775512,2012-08-18,2012-08-18,17 points,Michael Schroeder,Man in the Chair,
1646,nm0270502,2014-09-19,2014-09-19,17 points,Mu Fei,Xiao cheng zhi chun,1906-10-10
1647,nm1292192,2015-07-22,2015-07-22,17 points,Marc Fitoussi,La vie d'artiste,
1648,nm3464744,2015-04-30,2015-04-30,17 points,Maximilian Erlenwein,Skylines,1975-08-22
1649,nm0645038,2013-11-17,2013-11-17,17 points,Lisa Ohlin,Simon och ekarna,
1650,nm0649875,2012-08-12,2012-08-12,17 points,Joaquín Oristrell,Inconscientes,
1651,nm0324013,2012-07-27,2012-07-27,17 points,Peter Godfrey,Dr. Jekyll and Mr. Hyde,1899-10-16
1652,nm0075129,2017-04-25,2017-04-25,17 points,Kåre Bergstrøm,Andrine og Kjell,1911-02-03
1653,nm0618284,2012-08-05,2012-08-05,17 points,Ray Müller,Die Macht der Bilder: Leni Riefenstahl,
1654,nm0643422,2012-08-12,2012-08-12,17 points,Michael Oblowitz,"This World, Then the Fireworks",
1655,nm0849609,2017-02-02,2017-02-02,16 points,Alain Tanner,Dans la ville blanche,1929-12-06
1656,nm0266138,2012-08-26,2012-08-26,16 points,Feliks Falk,Joanna,1941-02-25
1657,nm0538105,2016-10-20,2016-10-20,16 points,Janusz Majewski,Sublokator,1931-08-05
1658,nm0001206,2013-06-23,2013-06-23,16 points,Abel Ferrara,Bad Lieutenant,1951-07-19
1659,nm0005738,2013-04-06,2013-04-06,16 points,Byron Haskin,The War of the Worlds,1899-04-22
1660,nm0468002,2016-04-11,2016-04-11,16 points,Nikos Koundouros,Mikres Afrodites,1926-12-15
1661,nm0746740,2013-07-07,2013-07-07,16 points,Roy Rowland,Meet Me in Las Vegas,1910-12-31
1662,nm0079578,2014-09-03,2014-09-03,16 points,Antoinette Beumer,Soof,
1663,nm0350957,2012-08-11,2012-08-11,16 points,Manuel Gómez Pereira,Entre las piernas,1958-12-08
1664,nm0624809,2012-07-28,2012-07-28,16 points,James Neilson,General Electric Theater,1909-10-01
1665,nm0902082,2012-07-27,2012-07-28,16 points,Josef von Báky,Der Ruf,1902-03-23
1666,nm0006943,2012-07-27,2012-07-27,16 points,Charles Lamont,Cipher Bureau,1895-05-05
1667,nm0630861,2012-08-11,2012-08-11,16 points,Jesper W. Nielsen,I et speil i en gåte,1962-08-15
1668,nm0632152,2012-08-18,2012-08-18,16 points,Anders Nilsson,När mörkret faller,1963-08-15
1669,nm0510233,2012-08-18,2012-08-18,16 points,Jean-Paul Lilienfeld,La journée de la jupe,1962-07-17
1670,nm0771349,2012-08-12,2012-08-12,16 points,Richard Schickel,The Big Red One,1933-02-10
1671,nm0433141,2015-06-21,2015-06-21,16 points,Anna Justice,Max Minsky und ich,1962-05-16
1672,nm0535234,2014-04-12,2014-04-12,16 points,Ole Christian Madsen,Flammen & Citronen,1966-06-18
1673,nm0890085,2016-10-22,2016-10-22,16 points,Marcel Varnel,Chandu the Magician,1894-10-16
1674,nm0728048,2012-08-10,2012-08-10,16 points,Maria Ripoll,The Man with Rain in His Shoes,
1675,nm0736394,2017-11-02,2017-11-02,16 points,Michael Roemer,Nothing But a Man,1928-01-01
1676,nm1311684,2017-10-04,2017-10-04,16 points,Ralf Westhoff,Der letzte schöne Herbsttag,1969-11-13
1677,nm0096180,2012-07-28,2012-07-29,16 points,Bernard Borderie,Fortune carrée,1924-06-10
1678,nm0526794,2012-08-12,2012-08-12,16 points,Lian Lunson,Leonard Cohen: I'm Your Man,
1679,nm0222545,2016-03-06,2016-03-06,15 points,Michel Deville,Le dossier 51,1931-04-13
1680,nm0002188,2016-08-21,2016-08-21,15 points,Dorothy Arzner,Christopher Strong,1897-01-03
1681,nm0000923,2013-01-19,2013-01-19,15 points,Busby Berkeley,Gold Diggers of 1935,1895-11-29
1682,nm0213940,2017-01-18,2017-01-18,15 points,Henri Decoin,Abus de confiance,1890-03-18
1683,nm0802561,2012-07-26,2012-07-26,15 points,Curt Siodmak,13 Demon Street,1902-08-10
1684,nm0662032,2015-08-19,2015-08-19,15 points,Albert Parker,The Branded Woman,1885-05-11
1685,nm1346665,2012-08-19,2012-08-19,15 points,Borys Lankosz,Rewers,1973-03-31
1686,nm0002337,2012-08-06,2012-08-06,15 points,Roger Christian,Star Wars,1944-02-25
1687,nm0886976,2013-02-15,2013-02-15,15 points,Felix van Groeningen,The Broken Circle Breakdown,1977-11-01
1688,nm0294692,2017-12-01,2017-12-01,15 points,Ilya Frez,Vam i ne snilos...,1909-09-02
1689,nm0836708,2016-11-02,2016-11-02,15 points,Hannes Stöhr,Berlin Is in Germany,
1690,nm0652631,2013-11-02,2013-11-02,15 points,Gerd Oswald,Schachnovelle,1919-06-09
1691,nm0039660,2012-08-12,2012-08-12,15 points,Martin Asphaug,En håndfull tid,1950-04-28
1692,nm0831720,2014-01-25,2014-01-25,15 points,Andrew L. Stone,Julie,1902-07-16
1693,nm0561938,2014-11-06,2014-11-06,15 points,Elaine May,Small Time Crooks,1932-04-21
1694,nm1971643,2017-07-09,2017-07-09,15 points,Safi Yazdanian,Dar donya ye to saat chand ast?,1960-09-06
1695,nm3761088,2017-06-11,2017-06-11,15 points,Martti Helde,Skandinaavia vaikus,1987-08-23
1696,nm2383508,2017-02-25,2017-02-25,15 points,Sacha Polak,Dirty God,
1697,nm0856715,2013-01-12,2013-01-12,15 points,Peter Tewksbury,Father Knows Best,1923-03-21
1698,nm0723664,2012-07-28,2012-07-28,15 points,John Rich,All in the Family,1925-07-06
1699,nm0792042,2014-04-12,2014-04-12,15 points,Jack Sher,Shane,1913-03-16
1700,nm0700715,2015-07-14,2015-07-14,15 points,Evelyn Purcell,Woman Undone,
1701,nm3299248,2017-12-02,2017-12-02,15 points,Katrin Gebbe,Tore tanzt,
1702,nm0524995,2012-07-27,2012-07-27,15 points,Edward Ludwig,Caribbean,1899-10-07
1703,nm0210701,2012-08-12,2012-08-12,14 points,Manoel de Oliveira,Os Canibais,1908-12-11
1704,nm0296144,2012-08-05,2012-08-05,14 points,Friðrik Þór Friðriksson,Djöflaeyjan,1953-05-12
1705,nm0579580,2012-08-05,2012-08-05,14 points,Chris Menges,The Mission,1940-09-15
1706,nm0397678,2016-05-29,2016-05-29,14 points,William K. Howard,Good Intentions,1893-06-16
1707,nm0902839,2014-11-23,2014-11-23,14 points,Géza von Radványi,Európa nem válaszol,1907-12-17
1708,nm0270838,2013-11-24,2013-11-24,14 points,Pál Fejös,Sonnenstrahl,1897-01-24
1709,nm0070865,2012-08-19,2012-08-19,14 points,Dev Benegal,"English, August",
1710,nm0804556,2012-08-18,2012-08-18,14 points,Kari Skogland,Fifty Dead Men Walking,
1711,nm0955451,2012-08-18,2012-08-18,14 points,Yuan Zhang,Kan shang qu hen mei,
1712,nm0313227,2012-08-12,2012-08-12,14 points,Henrik Ruben Genz,Frygtelig lykkelig,1959-11-07
1713,nm0864775,2012-08-12,2012-08-12,14 points,Johnnie To,Du zhan,1955-04-22
1714,nm0924065,2017-04-15,2017-04-15,14 points,Tim Whelan,The Thief of Bagdad,1893-11-02
1715,nm0303120,2013-12-01,2013-12-01,14 points,Carmine Gallone,Giuseppe Verdi,1885-09-10
1716,nm0846119,2014-03-07,2014-03-07,14 points,Juan Carlos Tabío,Guantanamera,1943-09-03
1717,nm0421716,2012-08-18,2012-08-18,14 points,Tomas Villum Jensen,Min søsters børn,1971-04-12
1718,nm0956052,2012-08-04,2012-08-04,14 points,Howard Zieff,The Main Event,1927-10-21
1719,nm0268984,2012-08-12,2012-08-12,14 points,Éléonore Faucher,Brodeuses,1973-01-10
1720,nm0703400,2016-04-17,2016-04-17,14 points,Bernard Queysanne,Un homme qui dort,1944-06-09
1721,nm0180369,2016-11-05,2016-11-05,14 points,Hubert Cornfield,The Night of the Following Day,1929-02-09
1722,nm0433347,2016-07-28,2016-07-28,14 points,Audrius Juzenas,Ekskursante,1963-01-11
1723,nm0526946,2013-10-19,2013-10-19,14 points,Ida Lupino,High Sierra,1918-02-04
1724,nm0005116,2015-03-10,2015-03-10,14 points,Mary Lambert,Pet Sematary,
1725,nm0825379,2014-08-23,2014-08-23,14 points,Niki Stein,Tatort,1961-01-25
1726,nm0293770,2012-08-18,2012-08-18,14 points,Jochen Alexander Freydank,Spielzeugland,1967-09-15
1727,nm3546728,2017-03-20,2017-03-20,14 points,Daniel Wolfe,Catch Me Daddy,
1728,nm0846281,2012-08-18,2012-08-18,14 points,Sven Taddicken,"Mein Bruder, der Vampir",
1729,nm1464507,2012-08-12,2012-08-12,14 points,Alexandra Leclère,Maman,
1730,nm1634446,2012-08-18,2012-08-18,14 points,Fabrice Joubert,Safety,
1731,nm0304091,2013-03-29,2013-03-29,14 points,Nisha Ganatra,Chutney Popcorn,1971-06-25
1732,nm0775056,2017-09-07,2017-09-07,14 points,Maria Schrader,Unorthodox,1965-09-27
1733,nm0001905,2017-06-24,2017-06-24,13 points,Yves Allégret,Les orgueilleux,1905-10-13
1734,nm0045800,2012-07-26,2013-02-03,13 points,Lloyd Bacon,Wonder Bar,1889-12-04
1735,nm0730237,2017-06-11,2017-06-11,13 points,Alain Robbe-Grillet,Un bruit qui rend fou,1922-08-18
1736,nm0755985,2012-07-26,2012-07-26,13 points,Leontine Sagan,Mädchen in Uniform,1889-02-13
1737,nm0667734,2014-04-20,2014-04-20,13 points,Pawel Pawlikowski,Zimna wojna,1957-09-15
1738,nm0594624,2016-03-25,2016-03-25,13 points,Moshé Mizrahi,Ore'ach B'Onah Metah,1930-09-05
1739,nm0476591,2017-11-12,2017-11-12,13 points,Kazimierz Kutz,Paciorki jednego rózanca,1929-02-16
1740,nm0022331,2017-11-19,2017-11-19,13 points,Aleksandr Alov,Tegeran-43,1923-09-26
1741,nm0622643,2017-11-19,2017-11-19,13 points,Vladimir Naumov,Tegeran-43,1927-12-06
1742,nm0278803,2015-01-20,2015-01-20,13 points,Pernille Fischer Christensen,En familie,1969-12-24
1743,nm0108707,2013-11-24,2013-11-24,13 points,Alan Bridges,American Playhouse,1927-09-28
1744,nm0258015,2012-07-27,2012-07-27,13 points,Ray Enright,Song of the West,1896-03-25
1745,nm0899364,2012-08-18,2012-08-18,13 points,Clement Virgo,Greenleaf,1966-06-01
1746,nm0718106,2013-10-27,2013-10-27,13 points,Gottfried Reinhardt,Vor Sonnenuntergang,1913-03-20
1747,nm0730018,2012-07-26,2012-07-26,13 points,Hal Roach,One Million B.C.,1892-01-14
1748,nm1498570,2012-08-12,2012-08-12,13 points,Matías Bize,La Memoria del Agua,1979-08-09
1749,nm0526971,2012-08-04,2012-08-04,13 points,Michele Lupo,Occhio alla penna,1932-12-04
1750,nm0955434,2012-08-18,2012-08-18,13 points,Yang Zhang,Luo ye gui gen,
1751,nm0305054,2016-07-17,2016-07-17,13 points,José Luis Garci,You're the one (una historia de entonces),1944-01-20
1752,nm0727999,2017-05-18,2017-05-18,13 points,Arthur Ripley,The Chase,1897-01-12
1753,nm0001703,2012-08-04,2016-06-12,13 points,Maximilian Schell,Judgment at Nuremberg,1930-12-08
1754,nm1112548,2016-02-12,2016-02-12,13 points,Johannes Naber,Der Albaner,
1755,nm0787668,2015-10-01,2015-10-01,13 points,Karen Shakhnazarov,Palata N°6,1952-07-08
1756,nm0757954,2015-07-11,2015-07-11,13 points,Hiner Saleem,My Sweet Pepper Land,1965-03-09
1757,nm1291828,2014-04-27,2014-04-27,13 points,Leszek Dawid,Bar na Victorii,1971-03-06
1758,nm0926636,2012-07-27,2012-07-27,13 points,Richard Whorf,Blues in the Night,1906-06-04
1759,nm0620378,2015-04-12,2015-04-12,13 points,Hideo Nakata,Honogurai mizu no soko kara,1961-07-19
1760,nm0816090,2014-03-15,2014-03-15,13 points,Barnaby Southcombe,Scarborough,
1761,nm0214320,2012-08-26,2012-08-26,13 points,Andy De Emmony,Father Ted,
1762,nm0844325,2017-05-26,2017-05-26,12 points,Piotr Szulkin,Wojna swiatów - nastepne stulecie,1950-04-26
1763,nm0054219,2016-02-02,2016-02-02,12 points,Juan Antonio Bardem,Calle Mayor,1922-06-02
1764,nm0003606,2012-07-28,2012-07-28,12 points,Philippe de Broca,Le roi de coeur,1933-03-15
1765,nm0314046,2017-11-26,2017-11-26,12 points,Sergey Gerasimov,Lev Tolstoy,1906-05-21
1766,nm0740282,2017-11-28,2017-11-28,12 points,Abram Room,Nashestvie,1894-06-28
1767,nm0215877,2016-04-07,2016-04-07,12 points,Roy Del Ruth,It Happened on Fifth Avenue,1893-10-18
1768,nm0451576,2017-03-16,2017-03-16,12 points,Iosif Kheifits,Deputat Baltiki,1905-12-04
1769,nm0039487,2012-07-29,2012-07-29,12 points,Aleksandr Askoldov,Komissar,1932-07-17
1770,nm0686020,2012-08-26,2012-08-26,12 points,Rafi Pitts,Soy Nero,
1771,nm2206944,2017-03-27,2017-03-27,12 points,Mikkel Munch-Fals,Ynglinge,
1772,nm1840944,2012-08-18,2014-11-22,12 points,Robert Thalheim,Netto,1974-07-02
1773,nm0246159,2012-08-11,2012-08-11,12 points,Nana Dzhordzhadze,27 Missing Kisses,1948-08-24
1774,nm0452319,2012-08-05,2012-08-05,12 points,Beeban Kidron,Oranges Are Not the Only Fruit,1961-05-02
1775,nm0609981,2014-04-05,2014-04-05,12 points,Emmanuel Mouret,"Les choses qu'on dit, les choses qu'on fait",1970-06-30
1776,nm0549650,2014-12-15,2014-12-15,12 points,Christian Marquand,Apocalypse Now,1927-03-15
1777,nm0080456,2017-06-16,2017-06-16,12 points,Kenneth Bi,Kong cheng ji,1967-03-04
1778,nm0077587,2015-01-08,2015-01-08,12 points,John Berry,Ça va barder,1917-09-06
1779,nm0782804,2014-05-17,2014-05-17,12 points,Steve Sekely,A Noszty fiú esete Tóth Marival,1899-02-25
1780,nm0580318,2013-01-27,2013-01-27,12 points,Antonio Mercero,Planta 4ª,1936-03-07
1781,nm1626419,2012-09-01,2012-09-01,12 points,Seyfi Teoman,Bizim Büyük Çaresizligimiz,
1782,nm0151827,2012-08-12,2012-08-12,12 points,Sylvia Chang,Xiang ai xiang qin,1953-07-22
1783,nm0607422,2012-08-12,2012-08-12,12 points,Paul Morrison,Wondrous Oblivion,
1784,nm1428845,2012-08-19,2012-08-19,12 points,Tomasz Konecki,Pól serio,1962-04-22
1785,nm2298796,2012-08-18,2012-08-18,12 points,Nicky Phelan,Bing,
1786,nm0921810,2017-04-23,2017-04-23,12 points,Kai Wessel,Zeit der Helden,1961-09-19
1787,nm0065496,2015-04-29,2015-04-29,12 points,Lars Becker,Zum Sterben zu früh,1954-01-12
1788,nm0146760,2017-03-20,2017-03-20,11 points,Alain Cavalier,Thérèse,1931-09-14
1789,nm0330848,2012-08-03,2012-08-03,11 points,Claude Goretta,L'invitation,1929-06-23
1790,nm0478303,2017-09-24,2017-09-24,11 points,Marcel L'Herbier,L'inhumaine,1888-04-23
1791,nm0331797,2016-02-09,2016-02-09,11 points,Péter Gothár,Megáll az idö,1947-08-28
1792,nm0690794,2015-07-04,2015-07-04,11 points,Léa Pool,Emporte-moi,1950-09-08
1793,nm0513792,2016-04-23,2016-04-23,11 points,Oldrich Lipský,Tajemství hradu v Karpatech,1924-07-04
1794,nm0718321,2012-07-27,2012-07-27,11 points,Irving Reis,The Four Poster,1906-05-07
1795,nm0377126,2016-11-01,2016-11-01,11 points,Hobart Henley,Society Snobs,1887-11-23
1796,nm4956873,2017-01-15,2017-01-15,11 points,Jan P. Matuszynski,Ostatnia rodzina,1984-04-23
1797,nm0892000,2012-09-01,2012-09-01,11 points,Andres Veiel,Wer wenn nicht wir,1959-10-16
1798,nm0320510,2016-08-22,2016-08-22,11 points,José Giovanni,"Mon père, il m'a sauvé la vie",1923-06-22
1799,nm0670874,2016-04-03,2016-04-03,11 points,Anthony Pelissier,Encore,1912-07-27
1800,nm0406687,2012-08-11,2012-08-11,11 points,Leon Ichaso,El Super,1948-08-03
1801,nm0353785,2012-07-29,2012-07-29,11 points,Stuart Hagmann,The Strawberry Statement,1942-09-02
1802,nm0428059,2015-08-24,2015-08-24,11 points,F. Richard Jones,Flying Pat,1893-09-07
1803,nm1435316,2012-08-18,2012-08-18,11 points,Ryan Eslinger,Madness and Genius,
1804,nm1830797,2012-08-18,2012-08-18,11 points,Cathy Randall,Hey Hey It's Esther Blueburger,
1805,nm1082740,2015-12-30,2015-12-30,11 points,JK Youn,Gukjesijang,
1806,nm0001528,2012-08-12,2012-08-12,11 points,Don McKellar,Last Night,1963-08-17
1807,nm0000204,2016-12-23,2016-12-23,11 points,Natalie Portman,Black Swan,1981-06-09
1808,nm2341285,2017-01-15,2017-01-15,11 points,Petr Kazda,"Já, Olga Hepnarová",1978-04-14
1809,nm0342748,2017-10-19,2017-10-19,11 points,Rajko Grlic,Neka ostane medju nama,1947-09-02
1810,nm2606827,2017-01-15,2017-01-15,11 points,Tomás Weinreb,"Já, Olga Hepnarová",1982-01-01
1811,nm0878390,2017-11-19,2017-11-19,11 points,Andrey Tutyshkin,Shelmenko-denshchik,1910-01-24
1812,nm0766649,2012-08-19,2012-08-19,11 points,Anno Saul,Kebab Connection,1963-11-14
1813,nm0694090,2012-07-27,2012-07-27,11 points,Dick Powell,"Murder, My Sweet",1904-11-14
1814,nm0001128,2016-02-22,2016-02-22,11 points,Alain Delon,Le Samouraï,1935-11-08
1815,nm0250038,2014-12-16,2014-12-16,11 points,Henry Edwards,A Welsh Singer,1882-09-18
1816,nm1000499,2013-07-08,2013-07-08,11 points,Serge Bromberg,L'enfer d'Henri-Georges Clouzot,1961-04-26
1817,nm0127294,2013-01-19,2013-01-19,11 points,Wolfgang Büld,Dirty White Lies,1952-09-04
1818,nm0285497,2012-07-28,2014-06-29,10 points,Aleksander Ford,Piatka z ulicy Barskiej,1908-11-24
1819,nm0460176,2014-09-18,2014-12-06,10 points,Alexander Kluge,Abschied von gestern - (Anita G.),1932-02-14
1820,nm1450964,2017-03-09,2017-03-09,10 points,Maciej Pieprzyca,Jestem morderca,1964-05-05
1821,nm0190516,2017-05-13,2017-05-13,10 points,James Cruze,The Covered Wagon,1884-03-27
1822,nm0953516,2017-07-07,2017-07-07,10 points,Aleksandr Zarkhi,Deputat Baltiki,1908-02-18
1823,nm0270765,2016-12-31,2016-12-31,10 points,Felix E. Feist,Deluge,1910-02-28
1824,nm0297935,2016-02-27,2016-02-27,10 points,Kinji Fukasaku,Batoru rowaiaru,1930-07-03
1825,nm0652650,2015-09-10,2015-09-10,10 points,Richard Oswald,Die Reise um die Erde in 80 Tagen,1880-11-05
1826,nm0227020,2015-08-03,2015-08-03,10 points,John Francis Dillon,Pagan Lady,1884-07-13
1827,nm0264614,2014-08-22,2014-08-22,10 points,Slawomir Fabicki,Milosc,1970-04-05
1828,nm0682881,2017-04-17,2017-04-17,10 points,Antonio Pietrangeli,Io la conoscevo bene,1919-01-19
1829,nm0404177,2014-09-28,2014-09-28,10 points,Zoltán Huszárik,Szindbád,1931-05-14
1830,nm0793983,2017-08-24,2017-08-24,10 points,Masahiro Shinoda,Shinjû: Ten no Amijima,1931-03-09
1831,nm0663577,2012-07-27,2012-07-27,10 points,Robert Parrish,Casino Royale,1916-01-04
1832,nm0511729,2015-09-02,2015-09-02,10 points,Max Linder,Seven Years Bad Luck,1883-12-16
1833,nm0232401,2014-05-11,2014-05-11,10 points,Vincent J. Donehue,Sunrise at Campobello,1915-09-22
1834,nm0442345,2012-08-18,2012-08-18,10 points,Rainer Kaufmann,Operation Zucker,1959-06-06
1835,nm0951944,2013-06-29,2013-11-24,10 points,Dror Zahavi,Sof Shavua B'Tel Aviv,1959-02-06
1836,nm0788058,2014-07-19,2014-07-19,10 points,Maxwell Shane,The Glass Wall,1905-08-26
1837,nm0497489,2012-08-18,2012-08-19,10 points,Je-yong Lee,Seukaendeul - Joseon namnyeo sangyeoljisa,
1838,nm0531440,2012-08-12,2012-08-12,10 points,Angelina Maccarone,Fremde Haut,1965-08-21
1839,nm0077094,2012-08-12,2012-08-12,10 points,Marcos Bernstein,O Outro Lado da Rua,1970-02-17
1840,nm0366781,2017-09-05,2017-09-05,10 points,Karl Hartl,"Der Mann, der Sherlock Holmes war",1899-05-10
1841,nm0803439,2012-08-19,2012-08-19,10 points,Lisa Siwe,I taket lyser stjärnorna,1968-08-17
1842,nm1928500,2015-04-25,2015-04-25,10 points,Hao Ning,Wu ren qu,1977-09-09
1843,nm0220652,2012-08-12,2012-08-12,10 points,Dominique Deruddere,Flying Home,1957-06-15
1844,nm0145309,2012-08-05,2012-08-05,10 points,Nick Castle,The Last Starfighter,1947-09-21
1845,nm0326937,2012-12-24,2012-12-24,10 points,Miguel Gomes,Aquele Querido Mês de Agosto,
1846,nm0681695,2012-08-05,2012-08-05,10 points,Vasili Pichul,Malenkaya Vera,1961-06-15
1847,nm0294243,2012-07-27,2012-07-27,10 points,Charles Frend,The Long Arm,1909-11-21
1848,nm0527852,2013-12-15,2013-12-15,10 points,Noémie Lvovsky,Camille redouble,1964-12-14
1849,nm0927718,2012-08-11,2012-08-12,10 points,Tomy Wigand,Das fliegende Klassenzimmer,1952-07-12
1850,nm0001770,2012-08-11,2012-08-11,10 points,Fisher Stevens,Short Circuit,1963-11-27
1851,nm0182276,2016-04-04,2016-04-04,10 points,Pedro Costa,Cavalo Dinheiro,1958-12-30
1852,nm0293707,2014-01-10,2016-11-06,10 points,Hugo Fregonese,Apenas un delincuente,1908-04-08
1853,nm0077911,2014-08-29,2014-08-29,10 points,Fabienne Berthaud,Pieds nus sur les limaces,
1854,nm0506589,2014-04-06,2014-04-06,10 points,Ralph Levy,The Jack Benny Program,1919-12-18
1855,nm0769615,2013-02-15,2013-02-15,10 points,George Schaefer,CBS Playhouse,1920-12-16
1856,nm3476432,2016-09-01,2016-09-01,10 points,Jonas Carpignano,A Chiara,1984-01-16
1857,nm0742323,2017-03-04,2017-03-04,10 points,Rudi Rosenberg,Le nouveau,1979-08-06
1858,nm1729191,2013-01-05,2013-01-05,10 points,Magdalena Piekorz,Pregi,1974-10-02
1859,nm0414672,2012-12-29,2012-12-29,10 points,Werner Jacobs,Modebummel,1909-04-24
1860,nm0679974,2012-07-28,2012-07-28,10 points,Harald Philipp,Siebenmal in der Woche,1921-04-24
1861,nm0449363,2014-05-02,2014-05-02,10 points,Hape Kerkeling,Total Normal,1964-12-09
1862,nm0409646,2012-08-11,2012-08-11,9 points,Otar Iosseliani,La chasse aux papillons,1934-02-02
1863,nm0812625,2012-08-12,2012-08-12,9 points,Fernando E. Solanas,El exilio de Gardel: Tangos,1936-02-16
1864,nm0216381,2012-07-27,2012-07-27,9 points,Jean Delannoy,La symphonie pastorale,1908-01-12
1865,nm0347589,2016-03-08,2016-03-08,9 points,Sacha Guitry,Les perles de la couronne,1885-02-21
1866,nm0473095,2012-08-19,2015-08-21,9 points,Waldemar Krzystek,Mala Moskwa,1953-11-23
1867,nm0464383,2015-07-16,2015-07-16,9 points,Jan Jakub Kolski,Jancio Wodnik,1956-01-29
1868,nm0869665,2016-07-18,2016-07-18,9 points,Maurice Tourneur,Au nom de la loi,1876-02-02
1869,nm0792605,2012-07-27,2012-07-27,9 points,Vincent Sherman,Affair in Trinidad,1906-07-16
1870,nm0948950,2017-05-27,2017-05-27,9 points,Yoshishige Yoshida,Ningen no yakusoku,1933-02-16
1871,nm0376221,2015-08-18,2015-08-18,9 points,Joseph Henabery,Intolerance: Love's Struggle Throughout the Ages,1888-01-15
1872,nm0782266,2015-07-26,2015-07-26,9 points,Peter Sehr,Love the Hard Way,1951-06-10
1873,nm0943202,2013-04-19,2013-04-19,9 points,Yonggang Wu,Shen nu,1907-11-01
1874,nm0125909,2012-08-04,2012-08-04,9 points,Rolan Bykov,Chuchelo,1929-11-12
